# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Copyright 2014 (C) Quranic Arabic Corpus
#  Kais Dukes, sckd@leeds.ac.uk
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

1,1,1,1,In (the) name,bisomi
2,1,1,2,"(of) Allah,",All~ahi
3,1,1,3,"the Most Gracious,",Alr~aHoma`ni
4,1,1,4,the Most Merciful.,Alr~aHiymi
5,1,2,1,All praises and thanks,AloHamodu
6,1,2,2,"(be) to Allah,",lil~ahi
7,1,2,3,the Lord,rab~i
8,1,2,4,of the universe,AloEaAlamiyna
9,1,3,1,"The Most Gracious,",Alr~aHoma`ni
10,1,3,2,the Most Merciful.,Alr~aHiymi
11,1,4,1,(The) Master,maAliki
12,1,4,2,(of the) Day,yawomi
13,1,4,3,(of the) Judgment.,Ald~iyni
14,1,5,1,You Alone,<iy~aAka
15,1,5,2,"we worship,",naEobudu
16,1,5,3,and You Alone,wa<iy~aAka
17,1,5,4,we ask for help.,nasotaEiynu
18,1,6,1,Guide us,AhodinaA
19,1,6,2,"(to) the path,",AlS~iraATa
20,1,6,3,the straight.,Alomusotaqiyma
21,1,7,1,(The) path,SiraATa
22,1,7,2,(of) those,Al~a*iyna
23,1,7,3,You have bestowed (Your) Favors,>anoEamota
24,1,7,4,"on them,",Ealayohimo
25,1,7,5,not (of),gayori
26,1,7,6,those who earned (Your) wrath,AlomagoDuwbi
27,1,7,7,on themselves,Ealayohimo
28,1,7,8,and not,walaA
29,1,7,9,(of) those who go astray.,AlD~aAl~iyna
30,2,1,1,Alif Laam Meem.,Alm
31,2,2,1,That,*a`lika
32,2,2,2,(is) the book,AlokitaAbu
33,2,2,3,no,laA
34,2,2,4,doubt,rayoba
35,2,2,5,"in it,",fiyhi
36,2,2,6,a Guidance,hudFY
